Neural Network is started!
Basic information can be given by...
Input Layer Node: 2 Hidden Layer Node :6 Output Layer Node: 1
Training neural network is started in five seconds
Error: 0.0011178 Iteration: 1100 Jacobian Check: 1.165711720867301e+22 Mu: 0.0035684
Error: 0.0010542 Iteration: 1110 Jacobian Check: 5.414503813064183e+22 Mu: 0.0032272
Error: 0.00099501 Iteration: 1120 Jacobian Check: 2.505783254691602e+23 Mu: 0.0029186
Error: 0.00094008 Iteration: 1130 Jacobian Check: 1.153281704043657e+24 Mu: 0.0026396
Error: 0.00088936 Iteration: 1140 Jacobian Check: 5.270148009260672e+24 Mu: 0.0023872
Error: 0.00084271 Iteration: 1150 Jacobian Check: 2.387611320688766e+25 Mu: 0.0021589
Error: 0.00079996 Iteration: 1160 Jacobian Check: 1.070856180371292e+26 Mu: 0.0019525
Error: 0.00076093 Iteration: 1170 Jacobian Check: 4.747479784551564e+26 Mu: 0.0017658
Error: 0.0007254 Iteration: 1180 Jacobian Check: 2.076974367336018e+27 Mu: 0.0015969
Error: 0.00069314 Iteration: 1190 Jacobian Check: 8.950271056101978e+27 Mu: 0.0014443
Error: 0.00066393 Iteration: 1200 Jacobian Check: 3.791672398559035e+28 Mu: 0.0013062
Error: 0.00063754 Iteration: 1210 Jacobian Check: 1.576033201137584e+29 Mu: 0.0011813
Error: 0.00061375 Iteration: 1220 Jacobian Check: 6.415830452280324e+29 Mu: 0.0010683
Error: 0.00059232 Iteration: 1230 Jacobian Check: 2.554121699179771e+30 Mu: 0.00096616
Error: 0.00057303 Iteration: 1240 Jacobian Check: 9.933005260126111e+30 Mu: 0.00087378
Error: 0.00055564 Iteration: 1250 Jacobian Check: 3.77194942196641e+31 Mu: 0.00079023
Error: 0.00053994 Iteration: 1260 Jacobian Check: 1.398808413416233e+32 Mu: 0.00071467
Error: 0.0005257 Iteration: 1270 Jacobian Check: 5.069643465882232e+32 Mu: 0.00064634
Error: 0.00051272 Iteration: 1280 Jacobian Check: 1.797941827797723e+33 Mu: 0.00058454
Error: 0.00050081 Iteration: 1290 Jacobian Check: 6.250273201433095e+33 Mu: 0.00052864
Error: 0.00048981 Iteration: 1300 Jacobian Check: 2.134223297875218e+34 Mu: 0.0004781
Error: 0.00047955 Iteration: 1310 Jacobian Check: 7.174338410364165e+34 Mu: 0.00043238
Error: 0.00046991 Iteration: 1320 Jacobian Check: 2.379794384955944e+35 Mu: 0.00039104
Error: 0.00046078 Iteration: 1330 Jacobian Check: 7.807198834347763e+35 Mu: 0.00035365
Error: 0.00045207 Iteration: 1340 Jacobian Check: 2.538290514616736e+36 Mu: 0.00031983
Error: 0.0004437 Iteration: 1350 Jacobian Check: 8.19276292794352e+36 Mu: 0.00028925
Error: 0.00043562 Iteration: 1360 Jacobian Check: 2.628704600094135e+37 Mu: 0.00026159
Error: 0.00042781 Iteration: 1370 Jacobian Check: 8.391974568362211e+37 Mu: 0.00023658
